; CSV, generated by libsigrok4DSL 0.2.0 on Tue Oct 18 11:27:46 2022
; Channels (4/16)
; Sample rate: 20 MHz
; Sample count: 200.512 M Samples
Time(s), CLK, MOSI, CS, DC
0.3265556,1,1,1,0
0.32656425,1,1,0,0
0.3265729,1,1,1,0
0.32657295,1,1,1,1
0.326573,1,1,1,0
0.3265816,1,1,0,0
0.32659025,1,1,1,0
0.3265903,1,1,1,1
0.32659035,1,1,1,0
0.3266076,1,1,0,0
0.3266163,1,1,1,1
0.3266164,1,1,1,0
0.32662495,1,1,0,0
0.3266423,1,1,1,1
0.3266424,1,1,1,0
0.326651,1,1,0,0
0.3266597,1,1,1,1
0.32665975,1,1,1,0
0.32666835,1,1,0,0
0.32667705,1,1,1,1
0.32667715,1,1,1,0
0.3266944,1,1,0,0
0.32670305,1,1,1,1
0.32670315,1,1,1,0
0.32671175,1,1,0,0
0.3267291,1,1,1,1
0.3267292,1,1,1,0
0.3267378,1,1,0,0
0.32674645,1,1,1,1
0.32674655,1,1,1,0
0.32675515,1,1,0,0
0.3267638,1,1,1,1
0.3267639,1,1,1,0
0.32678115,1,1,0,0
0.32678985,1,1,1,1
0.32678995,1,1,1,0
0.3267985,1,1,0,0
0.32681585,1,1,1,1
0.32681595,1,1,1,0
0.32682455,1,1,0,0
0.32683325,1,1,1,1
0.32683335,1,1,1,0
0.3268419,1,1,0,0
0.3268506,1,1,1,1
0.3268507,1,1,1,0
0.32686795,1,1,0,0
0.3268766,1,1,1,1
0.3268767,1,1,1,0
0.3268853,1,1,0,0
0.32690265,1,1,1,1
0.32690275,1,1,1,0
0.32691135,1,1,0,0
0.32692,1,1,1,1
0.3269201,1,1,1,0
0.3269287,1,1,0,0
0.32693735,1,1,1,1
0.32693745,1,1,1,0
0.3269547,1,1,0,0
0.3269634,1,1,1,1
0.3269635,1,1,1,0
0.3269721,1,1,0,0
0.3269894,1,1,1,0
0.32698945,1,1,1,1
0.3269895,1,1,1,0
0.3269981,1,1,1,1
0.32699815,1,1,0,0
0.3270068,1,1,1,1
0.3270069,1,1,1,0
0.3270155,1,1,0,0
0.32702415,1,1,1,1
0.32702425,1,1,1,0
0.3270415,1,1,0,0
0.3270502,1,1,1,1
0.32705025,1,1,1,0
0.32705885,1,1,0,0
0.3270762,1,1,1,1
0.3270763,1,1,1,0
0.3270849,1,1,0,0
